"No.","Time","Source","Destination","Protocol","Length","Info"
"445","0.446275","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"478","0.480230","192.207.0.2","192.168.0.69","UDP","244","7329  >  63834 Len=202"
"481","0.482450","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"500","0.518894","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"518","0.549556","192.207.0.2","192.168.0.69","UDP","203","7329  >  63834 Len=161"
"522","0.553357","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"544","0.581533","192.207.0.2","192.168.0.69","UDP","173","7329  >  63834 Len=131"
"549","0.594247","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"565","0.612333","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"569","0.615223","192.207.0.2","192.168.0.69","UDP","94","7329  >  63834 Len=52"
"590","0.645635","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"592","0.650253","192.207.0.2","192.168.0.69","UDP","130","7329  >  63834 Len=88"
"630","0.688089","192.207.0.2","192.168.0.69","UDP","516","7329  >  63834 Len=474"
"654","0.715086","192.207.0.2","192.168.0.69","UDP","151","7329  >  63834 Len=109"
"656","0.717052","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"680","0.747862","192.207.0.2","192.168.0.69","UDP","200","7329  >  63834 Len=158"
"686","0.752059","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"712","0.779974","192.207.0.2","192.168.0.69","UDP","269","7329  >  63834 Len=227"
"717","0.787255","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"737","0.813370","192.207.0.2","192.168.0.69","UDP","94","7329  >  63834 Len=52"
"741","0.824800","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"756","0.845991","192.207.0.2","192.168.0.69","UDP","91","7329  >  63834 Len=49"
"766","0.862013","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"780","0.880045","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"781","0.880045","192.207.0.2","192.168.0.69","UDP","114","7329  >  63834 Len=72"
"845","0.949301","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"850","0.953765","192.207.0.2","192.168.0.69","UDP","469","7329  >  63834 Len=427"
"873","0.980882","192.207.0.2","192.168.0.69","UDP","261","7329  >  63834 Len=219"
"883","0.988237","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"920","1.014171","192.207.0.2","192.168.0.69","UDP","108","7329  >  63834 Len=66"
"949","1.046023","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"950","1.047332","192.207.0.2","192.168.0.69","UDP","192","7329  >  63834 Len=150"
"974","1.083387","192.207.0.2","192.168.0.69","UDP","171","7329  >  63834 Len=129"
"1003","1.121258","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1025","1.147857","192.207.0.2","192.168.0.69","UDP","95","7329  >  63834 Len=53"
"1030","1.155392","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1050","1.180370","192.207.0.2","192.168.0.69","UDP","206","7329  >  63834 Len=164"
"1075","1.211817","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1082","1.220600","192.207.0.2","192.168.0.69","UDP","279","7329  >  63834 Len=237"
"1104","1.246823","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1105","1.247808","192.207.0.2","192.168.0.69","UDP","556","7329  >  63834 Len=514"
"1132","1.281030","192.207.0.2","192.168.0.69","UDP","210","7329  >  63834 Len=168"
"1161","1.313914","192.207.0.2","192.168.0.69","UDP","82","7329  >  63834 Len=40"
"1164","1.317062","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1207","1.350757","192.207.0.2","192.168.0.69","UDP","248","7329  >  63834 Len=206"
"1216","1.359278","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1236","1.381019","192.207.0.2","192.168.0.69","UDP","210","7329  >  63834 Len=168"
"1262","1.412080","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1264","1.415627","192.207.0.2","192.168.0.69","UDP","177","7329  >  63834 Len=135"
"1290","1.446550","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1291","1.449182","192.207.0.2","192.168.0.69","UDP","126","7329  >  63834 Len=84"
"1322","1.480240","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1330","1.488232","192.207.0.2","192.168.0.69","UDP","661","7329  >  63834 Len=619"
"1338","1.499381","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1348","1.509197","192.207.0.2","192.168.0.69","UDP","87","7329  >  63834 Len=45"
"1355","1.515225","192.207.0.2","192.168.0.69","UDP","126","7329  >  63834 Len=84"
"1357","1.517194","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1381","1.548386","192.207.0.2","192.168.0.69","UDP","82","7329  >  63834 Len=40"
"1384","1.551275","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1413","1.581160","192.207.0.2","192.168.0.69","UDP","194","7329  >  63834 Len=152"
"1421","1.589200","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1444","1.617558","192.207.0.2","192.168.0.69","UDP","98","7329  >  63834 Len=56"
"1468","1.648789","192.207.0.2","192.168.0.69","UDP","82","7329  >  63834 Len=40"
"1478","1.659271","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1493","1.682206","192.207.0.2","192.168.0.69","UDP","234","7329  >  63834 Len=192"
"1521","1.710973","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1527","1.714607","192.207.0.2","192.168.0.69","UDP","144","7329  >  63834 Len=102"
"1558","1.748785","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1563","1.754036","192.207.0.2","192.168.0.69","UDP","304","7329  >  63834 Len=262"
"1591","1.782404","192.207.0.2","192.168.0.69","UDP","260","7329  >  63834 Len=218"
"1593","1.783380","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1620","1.815367","192.207.0.2","192.168.0.69","UDP","161","7329  >  63834 Len=119"
"1624","1.817721","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1649","1.850103","192.207.0.2","192.168.0.69","UDP","197","7329  >  63834 Len=155"
"1652","1.852331","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1678","1.885359","192.207.0.2","192.168.0.69","UDP","276","7329  >  63834 Len=234"
"1680","1.887312","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1712","1.915889","192.207.0.2","192.168.0.69","UDP","122","7329  >  63834 Len=80"
"1717","1.923232","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1741","1.949697","192.207.0.2","192.168.0.69","UDP","294","7329  >  63834 Len=252"
"1747","1.959543","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1762","1.977221","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1767","1.983170","192.207.0.2","192.168.0.69","UDP","306","7329  >  63834 Len=264"
"1796","2.013137","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1806","2.023132","192.207.0.2","192.168.0.69","UDP","445","7329  >  63834 Len=403"
"1827","2.047244","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1830","2.049570","192.207.0.2","192.168.0.69","UDP","562","7329  >  63834 Len=520"
"1852","2.082599","192.207.0.2","192.168.0.69","UDP","320","7329  >  63834 Len=278"
"1854","2.083519","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1875","2.115366","192.207.0.2","192.168.0.69","UDP","125","7329  >  63834 Len=83"
"1880","2.119172","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1911","2.150361","192.207.0.2","192.168.0.69","UDP","79","7329  >  63834 Len=37"
"1917","2.153810","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1939","2.182771","192.207.0.2","192.168.0.69","UDP","261","7329  >  63834 Len=219"
"1964","2.216003","192.207.0.2","192.168.0.69","UDP","105","7329  >  63834 Len=63"
"1974","2.228348","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1985","2.245521","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"1990","2.249465","192.207.0.2","192.168.0.69","UDP","79","7329  >  63834 Len=37"
"2021","2.281290","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2030","2.291645","192.207.0.2","192.168.0.69","UDP","384","7329  >  63834 Len=342"
"2053","2.317347","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2054","2.317347","192.207.0.2","192.168.0.69","UDP","449","7329  >  63834 Len=407"
"2084","2.350360","192.207.0.2","192.168.0.69","UDP","79","7329  >  63834 Len=37"
"2087","2.351669","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2120","2.382792","192.207.0.2","192.168.0.69","UDP","243","7329  >  63834 Len=201"
"2127","2.387717","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2150","2.416286","192.207.0.2","192.168.0.69","UDP","81","7329  >  63834 Len=39"
"2155","2.423758","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2174","2.450108","192.207.0.2","192.168.0.69","UDP","143","7329  >  63834 Len=101"
"2179","2.457965","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2195","2.482997","192.207.0.2","192.168.0.69","UDP","266","7329  >  63834 Len=224"
"2224","2.511702","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2231","2.516164","192.207.0.2","192.168.0.69","UDP","102","7329  >  63834 Len=60"
"2262","2.550236","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2265","2.555865","192.207.0.2","192.168.0.69","UDP","368","7329  >  63834 Len=326"
"2285","2.585189","192.207.0.2","192.168.0.69","UDP","516","7329  >  63834 Len=474"
"2316","2.616167","192.207.0.2","192.168.0.69","UDP","91","7329  >  63834 Len=49"
"2325","2.624149","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2359","2.650529","192.207.0.2","192.168.0.69","UDP","146","7329  >  63834 Len=104"
"2369","2.659013","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2387","2.683790","192.207.0.2","192.168.0.69","UDP","461","7329  >  63834 Len=419"
"2423","2.717252","192.207.0.2","192.168.0.69","UDP","102","7329  >  63834 Len=60"
"2435","2.730576","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2449","2.747244","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2451","2.750238","192.207.0.2","192.168.0.69","UDP","98","7329  >  63834 Len=56"
"2479","2.784722","192.207.0.2","192.168.0.69","UDP","338","7329  >  63834 Len=296"
"2504","2.817079","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2508","2.823375","192.207.0.2","192.168.0.69","UDP","570","7329  >  63834 Len=528"
"2536","2.850760","192.207.0.2","192.168.0.69","UDP","146","7329  >  63834 Len=104"
"2539","2.852996","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2565","2.883711","192.207.0.2","192.168.0.69","UDP","306","7329  >  63834 Len=264"
"2596","2.920109","192.207.0.2","192.168.0.69","UDP","251","7329  >  63834 Len=209"
"2597","2.920109","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2630","2.953577","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2632","2.954726","192.207.0.2","192.168.0.69","UDP","319","7329  >  63834 Len=277"
"2657","2.984593","192.207.0.2","192.168.0.69","UDP","256","7329  >  63834 Len=214"
"2663","2.990219","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2686","3.018004","192.207.0.2","192.168.0.69","UDP","188","7329  >  63834 Len=146"
"2689","3.024163","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2712","3.051945","192.207.0.2","192.168.0.69","UDP","302","7329  >  63834 Len=260"
"2716","3.061261","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2745","3.090650","192.207.0.2","192.168.0.69","UDP","490","7329  >  63834 Len=448"
"2746","3.090650","192.207.0.2","192.168.0.69","UDP","227","7329  >  63834 Len=185"
"2753","3.097692","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2772","3.115245","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2773","3.117422","192.207.0.2","192.168.0.69","UDP","139","7329  >  63834 Len=97"
"2797","3.148798","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2799","3.151169","192.207.0.2","192.168.0.69","UDP","82","7329  >  63834 Len=40"
"2826","3.181705","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2832","3.184586","192.207.0.2","192.168.0.69","UDP","591","7329  >  63834 Len=549"
"2856","3.217609","192.207.0.2","192.168.0.69","UDP","105","7329  >  63834 Len=63"
"2860","3.218948","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2889","3.251090","192.207.0.2","192.168.0.69","UDP","102","7329  >  63834 Len=60"
"2895","3.256309","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2951","3.284709","192.207.0.2","192.168.0.69","UDP","228","7329  >  63834 Len=186"
"2960","3.292188","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"2993","3.319633","192.207.0.2","192.168.0.69","UDP","154","7329  >  63834 Len=112"
"3004","3.327965","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3020","3.351158","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3028","3.358761","192.207.0.2","192.168.0.69","UDP","334","7329  >  63834 Len=292"
"3051","3.385503","192.207.0.2","192.168.0.69","UDP","292","7329  >  63834 Len=250"
"3055","3.389038","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3084","3.418407","192.207.0.2","192.168.0.69","UDP","82","7329  >  63834 Len=40"
"3088","3.424034","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3112","3.453266","192.207.0.2","192.168.0.69","UDP","289","7329  >  63834 Len=247"
"3117","3.460483","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3138","3.485513","192.207.0.2","192.168.0.69","UDP","326","7329  >  63834 Len=284"
"3171","3.518394","192.207.0.2","192.168.0.69","UDP","196","7329  >  63834 Len=154"
"3180","3.531107","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3195","3.548024","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3198","3.552349","192.207.0.2","192.168.0.69","UDP","197","7329  >  63834 Len=155"
"3220","3.584974","192.207.0.2","192.168.0.69","UDP","558","7329  >  63834 Len=516"
"3225","3.588014","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3257","3.622988","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3259","3.624628","192.207.0.2","192.168.0.69","UDP","239","7329  >  63834 Len=197"
"3285","3.653271","192.207.0.2","192.168.0.69","UDP","149","7329  >  63834 Len=107"
"3288","3.655233","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3301","3.670170","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3312","3.680055","192.207.0.2","192.168.0.69","UDP","87","7329  >  63834 Len=45"
"3320","3.689698","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3323","3.694556","192.207.0.2","192.168.0.69","UDP","660","7329  >  63834 Len=618"
"3324","3.694556","192.207.0.2","192.168.0.69","UDP","347","7329  >  63834 Len=305"
"3325","3.694556","192.207.0.2","192.168.0.69","UDP","135","7329  >  63834 Len=93"
"3348","3.719582","192.207.0.2","192.168.0.69","UDP","139","7329  >  63834 Len=97"
"3354","3.725999","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3382","3.755623","192.207.0.2","192.168.0.69","UDP","130","7329  >  63834 Len=88"
"3386","3.760074","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3411","3.786297","192.207.0.2","192.168.0.69","UDP","306","7329  >  63834 Len=264"
"3417","3.794157","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3456","3.829024","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3490","3.853943","192.207.0.2","192.168.0.69","UDP","557","7329  >  63834 Len=515"
"3502","3.867823","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3516","3.885391","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3519","3.891803","192.207.0.2","192.168.0.69","UDP","411","7329  >  63834 Len=369"
"3520","3.891803","192.207.0.2","192.168.0.69","UDP","143","7329  >  63834 Len=101"
"3521","3.891803","192.207.0.2","192.168.0.69","UDP","177","7329  >  63834 Len=135"
"3522","3.891803","192.207.0.2","192.168.0.69","UDP","172","7329  >  63834 Len=130"
"3523","3.891803","192.207.0.2","192.168.0.69","UDP","136","7329  >  63834 Len=94"
"3524","3.891803","192.207.0.2","192.168.0.69","UDP","162","7329  >  63834 Len=120"
"3525","3.891803","192.207.0.2","192.168.0.69","UDP","140","7329  >  63834 Len=98"
"3526","3.891803","192.207.0.2","192.168.0.69","UDP","164","7329  >  63834 Len=122"
"3527","3.891803","192.207.0.2","192.168.0.69","UDP","152","7329  >  63834 Len=110"
"3528","3.891803","192.207.0.2","192.168.0.69","UDP","147","7329  >  63834 Len=105"
"3529","3.891803","192.207.0.2","192.168.0.69","UDP","127","7329  >  63834 Len=85"
"3530","3.891803","192.207.0.2","192.168.0.69","UDP","153","7329  >  63834 Len=111"
"3531","3.891803","192.207.0.2","192.168.0.69","UDP","151","7329  >  63834 Len=109"
"3532","3.891803","192.207.0.2","192.168.0.69","UDP","128","7329  >  63834 Len=86"
"3533","3.891803","192.207.0.2","192.168.0.69","UDP","337","7329  >  63834 Len=295"
"3568","3.919589","192.207.0.2","192.168.0.69","UDP","238","7329  >  63834 Len=196"
"3571","3.921056","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3592","3.952754","192.207.0.2","192.168.0.69","UDP","211","7329  >  63834 Len=169"
"3595","3.954703","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3616","3.986684","192.207.0.2","192.168.0.69","UDP","227","7329  >  63834 Len=185"
"3627","4.005096","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3639","4.021542","192.207.0.2","192.168.0.69","UDP","469","7329  >  63834 Len=427"
"3642","4.022066","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3660","4.053407","192.207.0.2","192.168.0.69","UDP","160","7329  >  63834 Len=118"
"3666","4.059168","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3686","4.085634","192.207.0.2","192.168.0.69","UDP","184","7329  >  63834 Len=142"
"3694","4.099396","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3706","4.115409","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3708","4.119714","192.207.0.2","192.168.0.69","UDP","165","7329  >  63834 Len=123"
"3729","4.150574","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3738","4.161386","192.207.0.2","192.168.0.69","UDP","628","7329  >  63834 Len=586"
"3739","4.161386","192.207.0.2","192.168.0.69","UDP","126","7329  >  63834 Len=84"
"3751","4.184225","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3753","4.187742","192.207.0.2","192.168.0.69","UDP","363","7329  >  63834 Len=321"
"3770","4.218962","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3771","4.219590","192.207.0.2","192.168.0.69","UDP","74","7329  >  63834 Len=32"
"3787","4.251441","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3789","4.253674","192.207.0.2","192.168.0.69","UDP","93","7329  >  63834 Len=51"
"3806","4.287894","192.207.0.2","192.168.0.69","UDP","439","7329  >  63834 Len=397"
"3828","4.320897","192.207.0.2","192.168.0.69","UDP","118","7329  >  63834 Len=76"
"3831","4.322735","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3847","4.353723","192.207.0.2","192.168.0.69","UDP","193","7329  >  63834 Len=151"
"3852","4.359344","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3871","4.387748","192.207.0.2","192.168.0.69","UDP","603","7329  >  63834 Len=561"
"3897","4.428758","192.207.0.2","192.168.0.69","UDP","213","7329  >  63834 Len=171"
"3899","4.430336","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3913","4.454185","192.207.0.2","192.168.0.69","UDP","246","7329  >  63834 Len=204"
"3922","4.468091","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3935","4.489057","192.207.0.2","192.168.0.69","UDP","454","7329  >  63834 Len=412"
"3954","4.516049","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3958","4.520904","192.207.0.2","192.168.0.69","UDP","121","7329  >  63834 Len=79"
"3978","4.553140","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"3980","4.553661","192.207.0.2","192.168.0.69","UDP","137","7329  >  63834 Len=95"
"4001","4.587344","192.207.0.2","192.168.0.69","UDP","265","7329  >  63834 Len=223"
"4022","4.620268","192.207.0.2","192.168.0.69","UDP","126","7329  >  63834 Len=84"
"4030","4.627066","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4046","4.653928","192.207.0.2","192.168.0.69","UDP","106","7329  >  63834 Len=64"
"4054","4.662853","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4075","4.693393","192.207.0.2","192.168.0.69","UDP","428","7329  >  63834 Len=386"
"4089","4.714357","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4094","4.721032","192.207.0.2","192.168.0.69","UDP","105","7329  >  63834 Len=63"
"4116","4.748955","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4121","4.755758","192.207.0.2","192.168.0.69","UDP","184","7329  >  63834 Len=142"
"4140","4.783030","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4146","4.789600","192.207.0.2","192.168.0.69","UDP","261","7329  >  63834 Len=219"
"4166","4.817102","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4170","4.822208","192.207.0.2","192.168.0.69","UDP","165","7329  >  63834 Len=123"
"4196","4.860093","192.207.0.2","192.168.0.69","UDP","421","7329  >  63834 Len=379"
"4203","4.871095","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4217","4.887247","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4219","4.888927","192.207.0.2","192.168.0.69","UDP","512","7329  >  63834 Len=470"
"4242","4.921697","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4243","4.922343","192.207.0.2","192.168.0.69","UDP","114","7329  >  63834 Len=72"
"4263","4.955376","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4268","4.962861","192.207.0.2","192.168.0.69","UDP","369","7329  >  63834 Len=327"
"4286","4.990236","192.207.0.2","192.168.0.69","UDP","447","7329  >  63834 Len=405"
"4288","4.993120","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4307","5.021694","192.207.0.2","192.168.0.69","UDP","301","7329  >  63834 Len=259"
"4315","5.027850","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4331","5.060080","192.207.0.2","192.168.0.69","UDP","243","7329  >  63834 Len=201"
"4341","5.070193","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4355","5.088403","192.207.0.2","192.168.0.69","UDP","495","7329  >  63834 Len=453"
"4373","5.121567","192.207.0.2","192.168.0.69","UDP","148","7329  >  63834 Len=106"
"4386","5.137679","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4398","5.155112","192.207.0.2","192.168.0.69","UDP","131","7329  >  63834 Len=89"
"4401","5.156028","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4423","5.188541","192.207.0.2","192.168.0.69","UDP","782","7329  >  63834 Len=740"
"4428","5.190880","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4455","5.228639","192.207.0.2","192.168.0.69","UDP","450","7329  >  63834 Len=408"
"4457","5.229157","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4466","5.255130","192.207.0.2","192.168.0.69","UDP","91","7329  >  63834 Len=49"
"4472","5.262495","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4485","5.289261","192.207.0.2","192.168.0.69","UDP","314","7329  >  63834 Len=272"
"4491","5.297558","192.207.0.2","192.168.0.69","UDP","61","7329  >  63834 Len=19"
"4505","5.321580","192.207.0.2","192.168.0.69","UDP","160","7329  >  63834 Len=118"
